-100.0000	64.681	5.883	-0.568	-0.018	0.024	-0.841
-99.8000	64.453	5.884	-0.555	-0.018	0.022	-0.844
-99.6000	64.218	5.884	-0.541	-0.018	0.019	-0.846
-99.4000	63.977	5.884	-0.527	-0.018	0.017	-0.848
-99.2000	63.731	5.884	-0.513	-0.018	0.015	-0.850
-99.0000	63.482	5.884	-0.500	-0.018	0.013	-0.852
-98.8000	63.231	5.884	-0.487	-0.018	0.011	-0.854
-98.6000	62.979	5.884	-0.474	-0.018	0.009	-0.857
-98.4000	62.729	5.884	-0.462	-0.018	0.007	-0.859
-98.2000	62.481	5.884	-0.451	-0.018	0.005	-0.861
-98.0000	62.238	5.884	-0.441	-0.018	0.003	-0.863
-97.8000	62.001	5.884	-0.432	-0.018	0.001	-0.865
-97.6000	61.774	5.884	-0.424	-0.019	-0.001	-0.868
-97.4000	61.558	5.884	-0.418	-0.019	-0.003	-0.870
-97.2000	61.355	5.884	-0.413	-0.019	-0.004	-0.872
-97.0000	61.168	5.883	-0.411	-0.019	-0.006	-0.874
-96.8000	60.999	5.883	-0.410	-0.019	-0.008	-0.877
-96.6000	60.851	5.883	-0.412	-0.019	-0.009	-0.879
-96.4000	60.724	5.883	-0.416	-0.019	-0.010	-0.881
-96.2000	60.620	5.883	-0.421	-0.019	-0.011	-0.884
-96.0000	60.541	5.883	-0.429	-0.019	-0.012	-0.886
-95.8000	60.487	5.882	-0.439	-0.019	-0.012	-0.888
-95.6000	60.458	5.882	-0.450	-0.019	-0.012	-0.891
-95.4000	60.454	5.882	-0.463	-0.019	-0.011	-0.893
-95.2000	60.474	5.882	-0.477	-0.019	-0.010	-0.896
-95.0000	60.518	5.882	-0.492	-0.019	-0.009	-0.898
-94.8000	60.583	5.882	-0.508	-0.019	-0.007	-0.900
-94.6000	60.667	5.882	-0.524	-0.019	-0.005	-0.903
-94.4000	60.768	5.882	-0.541	-0.019	-0.002	-0.905
-94.2000	60.883	5.882	-0.557	-0.019	0.001	-0.908
-94.0000	61.010	5.883	-0.572	-0.019	0.004	-0.910
-93.8000	61.144	5.883	-0.587	-0.019	0.007	-0.913
-93.6000	61.285	5.883	-0.601	-0.019	0.010	-0.915
-93.4000	61.427	5.883	-0.614	-0.019	0.014	-0.918
-93.2000	61.569	5.883	-0.625	-0.019	0.017	-0.921
-93.0000	61.708	5.883	-0.634	-0.019	0.021	-0.923
-92.8000	61.841	5.883	-0.642	-0.020	0.024	-0.926
-92.6000	61.967	5.884	-0.648	-0.020	0.027	-0.928
-92.4000	62.083	5.884	-0.652	-0.020	0.030	-0.931
-92.2000	62.188	5.884	-0.655	-0.020	0.032	-0.933
-92.0000	62.281	5.884	-0.655	-0.020	0.034	-0.936
-91.8000	62.362	5.884	-0.654	-0.020	0.036	-0.938
-91.6000	62.428	5.885	-0.652	-0.020	0.038	-0.941
-91.4000	62.481	5.885	-0.647	-0.020	0.039	-0.943
-91.2000	62.519	5.885	-0.641	-0.020	0.040	-0.946
-91.0000	62.543	5.885	-0.634	-0.021	0.040	-0.949
-90.8000	62.553	5.886	-0.626	-0.021	0.041	-0.951
-90.6000	62.549	5.886	-0.616	-0.021	0.041	-0.953
-90.4000	62.530	5.886	-0.605	-0.021	0.040	-0.956
-90.2000	62.498	5.887	-0.593	-0.021	0.040	-0.958
-90.0000	62.452	5.887	-0.581	-0.021	0.039	-0.961
-89.8000	62.392	5.888	-0.567	-0.021	0.038	-0.963
-89.6000	62.318	5.888	-0.553	-0.021	0.036	-0.965
-89.4000	62.231	5.889	-0.538	-0.021	0.035	-0.968
-89.2000	62.130	5.889	-0.522	-0.021	0.033	-0.970
-89.0000	62.017	5.890	-0.506	-0.021	0.031	-0.972
-88.8000	61.892	5.890	-0.490	-0.021	0.029	-0.975
-88.6000	61.754	5.891	-0.474	-0.021	0.026	-0.977
-88.4000	61.607	5.892	-0.458	-0.021	0.024	-0.979
-88.2000	61.449	5.892	-0.442	-0.021	0.021	-0.981
